seed,configuration,ablated,convergence_threshold,situations_scored,U_enabled,S_enabled,A_enabled,P_enabled,abstention_rate,appropriate_abstention_rate,inappropriate_abstention_rate,premature_convergence_rate,correct_conclusion_rate,false_conclusion_rate,single_iteration_conclusion_rate,mean_iterations_to_termination,iteration_records,max_convergence,mean_convergence,analyses_terminated,convergence_fraction,termination_reasons
456,P,P,0.5,66,True,True,True,False,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.45,0.1598,963,0.0,"{""max_iterations"": 963}"
789,P,P,0.5,66,True,True,True,False,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.485,0.1603,963,0.0,"{""max_iterations"": 963}"
1024,P,P,0.5,66,True,True,True,False,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.445,0.1606,963,0.0,"{""max_iterations"": 963}"
42,P,P,0.8,66,True,True,True,False,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.445,0.1601,963,0.0,"{""max_iterations"": 963}"
123,P,P,0.8,66,True,True,True,False,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.485,0.1608,963,0.0,"{""max_iterations"": 963}"
456,P,P,0.8,66,True,True,True,False,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.45,0.1598,963,0.0,"{""max_iterations"": 963}"
789,P,P,0.8,66,True,True,True,False,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.485,0.1603,963,0.0,"{""max_iterations"": 963}"
1024,P,P,0.8,66,True,True,True,False,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.445,0.1606,963,0.0,"{""max_iterations"": 963}"
42,US,US,0.3,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.2067,963,0.0,"{""max_iterations"": 963}"
123,US,US,0.3,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.2088,963,0.0,"{""max_iterations"": 963}"
456,US,US,0.3,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.2077,963,0.0,"{""max_iterations"": 963}"
789,US,US,0.3,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.29,0.2074,963,0.0,"{""max_iterations"": 963}"
1024,US,US,0.3,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.29,0.2073,963,0.0,"{""max_iterations"": 963}"
42,US,US,0.5,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.49,0.2535,963,0.0,"{""max_iterations"": 963}"
123,US,US,0.5,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.49,0.2576,963,0.0,"{""max_iterations"": 963}"
456,US,US,0.5,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.49,0.256,963,0.0,"{""max_iterations"": 963}"
789,US,US,0.5,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.49,0.2539,963,0.0,"{""max_iterations"": 963}"
1024,US,US,0.5,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.49,0.2559,963,0.0,"{""max_iterations"": 963}"
42,US,US,0.8,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.5333,0.2538,963,0.0,"{""max_iterations"": 963}"
123,US,US,0.8,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.6015,0.2579,963,0.0,"{""max_iterations"": 963}"
456,US,US,0.8,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.5917,0.2563,963,0.0,"{""max_iterations"": 963}"
789,US,US,0.8,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.5917,0.2542,963,0.0,"{""max_iterations"": 963}"
1024,US,US,0.8,66,False,False,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.5917,0.2561,963,0.0,"{""max_iterations"": 963}"
42,UA,UA,0.3,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.29,0.2448,963,0.0,"{""max_iterations"": 963}"
123,UA,UA,0.3,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.29,0.2463,963,0.0,"{""max_iterations"": 963}"
456,UA,UA,0.3,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.29,0.2464,963,0.0,"{""max_iterations"": 963}"
789,UA,UA,0.3,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.2477,963,0.0,"{""max_iterations"": 963}"
1024,UA,UA,0.3,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.29,0.2465,963,0.0,"{""max_iterations"": 963}"
42,UA,UA,0.5,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.49,0.3328,963,0.0,"{""max_iterations"": 963}"
123,UA,UA,0.5,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.49,0.3362,963,0.0,"{""max_iterations"": 963}"
456,UA,UA,0.5,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.49,0.3343,963,0.0,"{""max_iterations"": 963}"
789,UA,UA,0.5,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.49,0.3362,963,0.0,"{""max_iterations"": 963}"
1024,UA,UA,0.5,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.49,0.3362,963,0.0,"{""max_iterations"": 963}"
42,UA,UA,0.8,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.6,0.3349,963,0.0,"{""max_iterations"": 963}"
123,UA,UA,0.8,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.65,0.3383,963,0.0,"{""max_iterations"": 963}"
456,UA,UA,0.8,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.5917,0.3363,963,0.0,"{""max_iterations"": 963}"
789,UA,UA,0.8,66,False,True,False,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.65,0.3387,963,0.0,"{""max_iterations"": 963}"
