score,coverage,risk
negative_epistemic_uncertainty,0.67,0.11748
negative_epistemic_uncertainty,0.680002,0.122328
negative_epistemic_uncertainty,0.690003,0.127019
negative_epistemic_uncertainty,0.700005,0.132027
negative_epistemic_uncertainty,0.709994,0.13669
negative_epistemic_uncertainty,0.719996,0.14107
negative_epistemic_uncertainty,0.729997,0.144898
negative_epistemic_uncertainty,0.739999,0.149048
negative_epistemic_uncertainty,0.75,0.153396
negative_epistemic_uncertainty,0.760001,0.15747
negative_epistemic_uncertainty,0.770003,0.161643
negative_epistemic_uncertainty,0.780004,0.165335
negative_epistemic_uncertainty,0.790006,0.168718
negative_epistemic_uncertainty,0.799995,0.172414
negative_epistemic_uncertainty,0.809997,0.176271
negative_epistemic_uncertainty,0.819998,0.179916
negative_epistemic_uncertainty,0.83,0.184234
negative_epistemic_uncertainty,0.840001,0.187538
negative_epistemic_uncertainty,0.850002,0.191479
negative_epistemic_uncertainty,0.860004,0.1953
negative_epistemic_uncertainty,0.870005,0.198894
negative_epistemic_uncertainty,0.879995,0.202616
negative_epistemic_uncertainty,0.889996,0.206729
negative_epistemic_uncertainty,0.899998,0.209981
negative_epistemic_uncertainty,0.909999,0.213776
negative_epistemic_uncertainty,0.92,0.217185
negative_epistemic_uncertainty,0.930002,0.220834
negative_epistemic_uncertainty,0.940003,0.224199
negative_epistemic_uncertainty,0.950005,0.227876
negative_epistemic_uncertainty,0.959994,0.231126
negative_epistemic_uncertainty,0.969996,0.235182
negative_epistemic_uncertainty,0.979997,0.238734
negative_epistemic_uncertainty,0.989999,0.242693
negative_epistemic_uncertainty,1.0,0.243924
