score,coverage,risk_mean,risk_std,seeds
calibrated_max_probability,0.900002,0.192291,0.00155,5
calibrated_max_probability,0.909999,0.197389,0.001609,5
calibrated_max_probability,0.919995,0.202205,0.001601,5
calibrated_max_probability,0.930003,0.206875,0.001757,5
calibrated_max_probability,0.939999,0.21182,0.001881,5
calibrated_max_probability,0.949995,0.216746,0.001812,5
calibrated_max_probability,0.960003,0.221847,0.001715,5
calibrated_max_probability,0.97,0.226714,0.001917,5
calibrated_max_probability,0.979996,0.231855,0.001748,5
calibrated_max_probability,0.990004,0.236796,0.001665,5
calibrated_max_probability,1.0,0.241792,0.001717,5
